lat,lon,anomaly
-76.0,114.0,
-76.0,118.0,
-76.0,122.0,
-76.0,126.0,
-76.0,130.0,
-76.0,134.0,
-76.0,138.0,
-76.0,142.0,
-76.0,146.0,
-76.0,150.0,
-76.0,154.0,
-76.0,158.0,
-76.0,162.0,
-76.0,166.0,0.10066143
-76.0,170.0,0.1071322
-76.0,174.0,0.100349456
-76.0,178.0,0.117011465
-76.0,182.0,0.1371914
-76.0,186.0,0.15884258
-76.0,190.0,0.15021296
-76.0,194.0,0.14056434
-76.0,198.0,0.14574468
-76.0,202.0,0.1533593
-76.0,206.0,0.16184257
-76.0,210.0,0.15080114
-76.0,214.0,0.12660503
-76.0,218.0,0.12466738
-76.0,222.0,0.109811544
-76.0,226.0,0.089885354
-76.0,230.0,
-76.0,234.0,
-76.0,238.0,
-76.0,242.0,
-76.0,246.0,
-76.0,250.0,-0.018834352
-76.0,254.0,0.029245138
-76.0,258.0,0.048307776
-76.0,262.0,
-76.0,266.0,
-76.0,270.0,
-76.0,274.0,
-76.0,278.0,
-76.0,282.0,
-76.0,286.0,
-76.0,290.0,
-76.0,294.0,
-76.0,298.0,
-76.0,302.0,0.0044492483
-76.0,306.0,-0.0030430704
-76.0,310.0,0.003958377
-76.0,314.0,0.015598997
-76.0,318.0,0.027571693
-76.0,322.0,0.037713356
-76.0,326.0,0.047535725
-76.0,330.0,0.059738446
-76.0,334.0,0.07440847
-76.0,338.0,
-76.0,342.0,
-76.0,346.0,
-76.0,350.0,
-76.0,354.0,
-76.0,358.0,
-72.0,2.0,
-72.0,6.0,
-72.0,10.0,
-72.0,14.0,
-72.0,18.0,
-72.0,22.0,
-72.0,26.0,
-72.0,30.0,
-72.0,34.0,
-72.0,38.0,
-72.0,42.0,
-72.0,46.0,
-72.0,50.0,
-72.0,54.0,
-72.0,58.0,
-72.0,62.0,
-72.0,66.0,
-72.0,70.0,
-72.0,74.0,
-72.0,78.0,
-72.0,82.0,
-72.0,86.0,
-72.0,90.0,
-72.0,94.0,
-72.0,98.0,
-72.0,102.0,
-72.0,106.0,
-72.0,110.0,
-72.0,114.0,
-72.0,118.0,
-72.0,122.0,
-72.0,126.0,
-72.0,130.0,
-72.0,134.0,
-72.0,138.0,
-72.0,142.0,
-72.0,146.0,
-72.0,150.0,
-72.0,154.0,
-72.0,158.0,
-72.0,162.0,
-72.0,166.0,
-72.0,170.0,0.1016037
-72.0,174.0,0.09395494
-72.0,178.0,0.11732414
-72.0,182.0,0.12616484
-72.0,186.0,0.104098506
-72.0,190.0,0.065442435
-72.0,194.0,0.05773458
-72.0,198.0,0.06672454
-72.0,202.0,0.083739534
-72.0,206.0,0.10634184
-72.0,210.0,0.12874958
-72.0,214.0,0.14974764
-72.0,218.0,0.16791017
-72.0,222.0,0.172865
-72.0,226.0,0.14361642
-72.0,230.0,0.09322359
-72.0,234.0,0.050268453
-72.0,238.0,0.020965174
-72.0,242.0,0.022956409
-72.0,246.0,0.031412713
-72.0,250.0,0.077954456
-72.0,254.0,0.121154346
-72.0,258.0,0.11271702
-72.0,262.0,0.0833706
-72.0,266.0,0.064839624
-72.0,270.0,0.10081839
-72.0,274.0,0.119937815
-72.0,278.0,0.13021952
-72.0,282.0,0.18846972
-72.0,286.0,0.16652942
-72.0,290.0,
-72.0,294.0,
-72.0,298.0,0.05558324
-72.0,302.0,0.012564629
-72.0,306.0,0.01496125
-72.0,310.0,0.029196009
-72.0,314.0,0.044398576
-72.0,318.0,0.063974075
-72.0,322.0,0.08308763
-72.0,326.0,0.10220496
-72.0,330.0,0.12824824
-72.0,334.0,0.14407805
-72.0,338.0,0.15741284
-72.0,342.0,0.17172912
-72.0,346.0,0.16115008
-72.0,350.0,0.14355855
-72.0,354.0,
-72.0,358.0,
-68.0,2.0,0.22264671
-68.0,6.0,0.24473411
-68.0,10.0,0.25623342
-68.0,14.0,0.2825289
-68.0,18.0,0.29349396
-68.0,22.0,0.34905797
-68.0,26.0,0.41000646
-68.0,30.0,0.46105412
-68.0,34.0,0.44818124
-68.0,38.0,0.4458538
-68.0,42.0,0.53210557
-68.0,46.0,0.59202164
-68.0,50.0,0.59883296
-68.0,54.0,
-68.0,58.0,0.32818452
-68.0,62.0,0.31395316
-68.0,66.0,0.23787616
-68.0,70.0,0.19455901
-68.0,74.0,0.23283231
-68.0,78.0,0.28393945
-68.0,82.0,0.27543026
-68.0,86.0,0.26184714
-68.0,90.0,0.1929071
-68.0,94.0,0.18209743
-68.0,98.0,
-68.0,102.0,
-68.0,106.0,
-68.0,110.0,0.16699243
-68.0,114.0,
-68.0,118.0,0.17299397
-68.0,122.0,0.2131849
-68.0,126.0,0.20331657
-68.0,130.0,0.15271914
-68.0,134.0,
-68.0,138.0,0.18780679
-68.0,142.0,0.1781125
-68.0,146.0,0.10621431
-68.0,150.0,0.096355066
-68.0,154.0,0.080429755
-68.0,158.0,0.06982913
-68.0,162.0,0.08598595
-68.0,166.0,0.11175817
-68.0,170.0,0.119874515
-68.0,174.0,0.12187404
-68.0,178.0,0.10481933
-68.0,182.0,0.080375016
-68.0,186.0,0.07150056
-68.0,190.0,0.07595823
-68.0,194.0,0.07353838
-68.0,198.0,0.063230805
-68.0,202.0,0.047136255
-68.0,206.0,0.0360583
-68.0,210.0,0.054253004
-68.0,214.0,0.0935765
-68.0,218.0,0.14106968
-68.0,222.0,0.17576358
-68.0,226.0,0.20161726
-68.0,230.0,0.22152343
-68.0,234.0,0.22848248
-68.0,238.0,0.24129282
-68.0,242.0,0.25977594
-68.0,246.0,0.27477017
-68.0,250.0,0.29652512
-68.0,254.0,0.33325243
-68.0,258.0,0.37544635
-68.0,262.0,0.3883168
-68.0,266.0,0.3636576
-68.0,270.0,0.34968582
-68.0,274.0,0.36553618
-68.0,278.0,0.39773187
-68.0,282.0,0.4137739
-68.0,286.0,0.40533802
-68.0,290.0,0.41901436
-68.0,294.0,0.57557094
-68.0,298.0,0.07386851
-68.0,302.0,0.13573602
-68.0,306.0,0.11305017
-68.0,310.0,0.09623474
-68.0,314.0,0.09579254
-68.0,318.0,0.102035545
-68.0,322.0,0.1146128
-68.0,326.0,0.13733454
-68.0,330.0,0.18009496
-68.0,334.0,0.21635443
-68.0,338.0,0.23170246
-68.0,342.0,0.22490752
-68.0,346.0,0.21751913
-68.0,350.0,0.21146873
-68.0,354.0,0.20705712
-68.0,358.0,0.2069439
-64.0,2.0,0.22682357
-64.0,6.0,0.24291962
-64.0,10.0,0.294327
-64.0,14.0,0.38213965
-64.0,18.0,0.49990755
-64.0,22.0,0.6567588
-64.0,26.0,0.7904998
-64.0,30.0,0.86070585
-64.0,34.0,0.8965727
-64.0,38.0,0.9273584
-64.0,42.0,0.9120175
-64.0,46.0,0.9072719
-64.0,50.0,0.93496895
-64.0,54.0,0.9391068
-64.0,58.0,0.8693895
-64.0,62.0,0.75811565
-64.0,66.0,0.6197077
-64.0,70.0,0.5715946
-64.0,74.0,0.4985996
-64.0,78.0,0.42111194
-64.0,82.0,0.3645692
-64.0,86.0,0.2747296
-64.0,90.0,0.24174023
-64.0,94.0,0.25347808
-64.0,98.0,0.2637098
-64.0,102.0,0.26630038
-64.0,106.0,0.23945746
-64.0,110.0,0.24512982
-64.0,114.0,0.24170026
-64.0,118.0,0.2546178
-64.0,122.0,0.25249192
-64.0,126.0,0.25628346
-64.0,130.0,0.2681647
-64.0,134.0,0.28101602
-64.0,138.0,0.27571142
-64.0,142.0,0.31677562
-64.0,146.0,0.35835263
-64.0,150.0,0.31141716
-64.0,154.0,0.22337887
-64.0,158.0,0.23352113
-64.0,162.0,0.29164922
-64.0,166.0,0.35202467
-64.0,170.0,0.41052592
-64.0,174.0,0.37374282
-64.0,178.0,0.30644995
-64.0,182.0,0.27998492
-64.0,186.0,0.23483153
-64.0,190.0,0.20796026
-64.0,194.0,0.2104137
-64.0,198.0,0.18756899
-64.0,202.0,0.14070514
-64.0,206.0,0.09321031
-64.0,210.0,0.06828533
-64.0,214.0,0.12686613
-64.0,218.0,0.2670727
-64.0,222.0,0.36603236
-64.0,226.0,0.43217826
-64.0,230.0,0.48960307
-64.0,234.0,0.5180552
-64.0,238.0,0.5587189
-64.0,242.0,0.5993185
-64.0,246.0,0.63058895
-64.0,250.0,0.6743112
-64.0,254.0,0.72974604
-64.0,258.0,0.775787
-64.0,262.0,0.7898393
-64.0,266.0,0.77012014
-64.0,270.0,0.756291
-64.0,274.0,0.73648775
-64.0,278.0,0.66888356
-64.0,282.0,0.5838872
-64.0,286.0,0.53180385
-64.0,290.0,0.54688644
-64.0,294.0,0.60539997
-64.0,298.0,0.7210283
-64.0,302.0,0.42017454
-64.0,306.0,0.2411546
-64.0,310.0,0.20059931
-64.0,314.0,0.16827628
-64.0,318.0,0.13197914
-64.0,322.0,0.1118525
-64.0,326.0,0.11088136
-64.0,330.0,0.13279048
-64.0,334.0,0.16923559
-64.0,338.0,0.20572327
-64.0,342.0,0.22783607
-64.0,346.0,0.225166
-64.0,350.0,0.215516
-64.0,354.0,0.21491061
-64.0,358.0,0.22070107
-60.0,2.0,0.375418
-60.0,6.0,0.40741825
-60.0,10.0,0.5855473
-60.0,14.0,0.88959414
-60.0,18.0,1.1526098
-60.0,22.0,1.2193953
-60.0,26.0,1.1305813
-60.0,30.0,1.0771592
-60.0,34.0,1.0265714
-60.0,38.0,0.9748312
-60.0,42.0,0.9534055
-60.0,46.0,0.9488828
-60.0,50.0,0.94976974
-60.0,54.0,0.9760876
-60.0,58.0,0.9891638
-60.0,62.0,0.9700186
-60.0,66.0,0.88312453
-60.0,70.0,0.75805587
-60.0,74.0,0.53067607
-60.0,78.0,0.39299992
-60.0,82.0,0.30156446
-60.0,86.0,0.21533856
-60.0,90.0,0.21897928
-60.0,94.0,0.2377789
-60.0,98.0,0.26596093
-60.0,102.0,0.31700915
-60.0,106.0,0.3906407
-60.0,110.0,0.4568907
-60.0,114.0,0.50589794
-60.0,118.0,0.5332639
-60.0,122.0,0.5898959
-60.0,126.0,0.6478131
-60.0,130.0,0.6626079
-60.0,134.0,0.6571982
-60.0,138.0,0.64400494
-60.0,142.0,0.653491
-60.0,146.0,0.6468769
-60.0,150.0,0.5332996
-60.0,154.0,0.50436866
-60.0,158.0,0.5580814
-60.0,162.0,0.6413708
-60.0,166.0,0.7077042
-60.0,170.0,0.5773661
-60.0,174.0,0.49154562
-60.0,178.0,0.44018245
-60.0,182.0,0.42779055
-60.0,186.0,0.42449898
-60.0,190.0,0.4085122
-60.0,194.0,0.40637684
-60.0,198.0,0.370736
-60.0,202.0,0.33164054
-60.0,206.0,0.25507072
-60.0,210.0,0.15571494
-60.0,214.0,0.11167725
-60.0,218.0,0.2905417
-60.0,222.0,0.4377175
-60.0,226.0,0.50314295
-60.0,230.0,0.526985
-60.0,234.0,0.45797843
-60.0,238.0,0.44722843
-60.0,242.0,0.47937962
-60.0,246.0,0.506704
-60.0,250.0,0.54671395
-60.0,254.0,0.58693737
-60.0,258.0,0.61718065
-60.0,262.0,0.63578093
-60.0,266.0,0.63489604
-60.0,270.0,0.61467785
-60.0,274.0,0.5926968
-60.0,278.0,0.5866733
-60.0,282.0,0.57992893
-60.0,286.0,0.56815034
-60.0,290.0,0.5672576
-60.0,294.0,0.5948789
-60.0,298.0,0.6012471
-60.0,302.0,0.60586107
-60.0,306.0,0.56258374
-60.0,310.0,0.5191184
-60.0,314.0,0.44392174
-60.0,318.0,0.39269394
-60.0,322.0,0.3704486
-60.0,326.0,0.3397537
-60.0,330.0,0.31096664
-60.0,334.0,0.3312747
-60.0,338.0,0.39095968
-60.0,342.0,0.42654556
-60.0,346.0,0.45459396
-60.0,350.0,0.44971085
-60.0,354.0,0.43489918
-60.0,358.0,0.40473622
-56.0,2.0,0.7308905
-56.0,6.0,0.71785307
-56.0,10.0,0.85486746
-56.0,14.0,1.0862024
-56.0,18.0,1.1782094
-56.0,22.0,1.1105876
-56.0,26.0,0.8622652
-56.0,30.0,0.7145355
-56.0,34.0,0.7097755
-56.0,38.0,0.71964824
-56.0,42.0,0.7616555
-56.0,46.0,0.7537018
-56.0,50.0,0.7187089
-56.0,54.0,0.72465783
-56.0,58.0,0.7233204
-56.0,62.0,0.68651414
-56.0,66.0,0.64230853
-56.0,70.0,0.5666044
-56.0,74.0,0.46995005
-56.0,78.0,0.48229983
-56.0,82.0,0.5152294
-56.0,86.0,0.5999594
-56.0,90.0,0.69195545
-56.0,94.0,0.66195244
-56.0,98.0,0.62440443
-56.0,102.0,0.6302702
-56.0,106.0,0.6724389
-56.0,110.0,0.6653384
-56.0,114.0,0.6570865
-56.0,118.0,0.63778824
-56.0,122.0,0.62743956
-56.0,126.0,0.6099123
-56.0,130.0,0.5965605
-56.0,134.0,0.59107447
-56.0,138.0,0.6011809
-56.0,142.0,0.60498244
-56.0,146.0,0.5845193
-56.0,150.0,0.5856268
-56.0,154.0,0.5689568
-56.0,158.0,0.52617514
-56.0,162.0,0.55042815
-56.0,166.0,0.51919043
-56.0,170.0,0.48289293
-56.0,174.0,0.49183583
-56.0,178.0,0.46129605
-56.0,182.0,0.44657847
-56.0,186.0,0.4480184
-56.0,190.0,0.4498449
-56.0,194.0,0.43833783
-56.0,198.0,0.41615504
-56.0,202.0,0.4123212
-56.0,206.0,0.38305688
-56.0,210.0,0.34672934
-56.0,214.0,0.2946015
-56.0,218.0,0.31244564
-56.0,222.0,0.33275634
-56.0,226.0,0.3064533
-56.0,230.0,0.33368602
-56.0,234.0,0.38114917
-56.0,238.0,0.38509881
-56.0,242.0,0.39803126
-56.0,246.0,0.40436077
-56.0,250.0,0.41004783
-56.0,254.0,0.4457784
-56.0,258.0,0.4675239
-56.0,262.0,0.4702506
-56.0,266.0,0.4725019
-56.0,270.0,0.48250967
-56.0,274.0,0.48109075
-56.0,278.0,0.47065052
-56.0,282.0,0.43040535
-56.0,286.0,0.33302706
-56.0,290.0,0.2834992
-56.0,294.0,0.32638335
-56.0,298.0,0.35366583
-56.0,302.0,0.33082694
-56.0,306.0,0.3525793
-56.0,310.0,0.40334433
-56.0,314.0,0.49308407
-56.0,318.0,0.56015074
-56.0,322.0,0.5715916
-56.0,326.0,0.6140353
-56.0,330.0,0.66372746
-56.0,334.0,0.6452552
-56.0,338.0,0.67357427
-56.0,342.0,0.7141228
-56.0,346.0,0.79358757
-56.0,350.0,0.8208642
-56.0,354.0,0.7747985
-56.0,358.0,0.7453852
-52.0,2.0,0.86486065
-52.0,6.0,0.8991238
-52.0,10.0,0.9610015
-52.0,14.0,0.82939905
-52.0,18.0,0.799952
-52.0,22.0,0.79274523
-52.0,26.0,0.7653613
-52.0,30.0,0.6372497
-52.0,34.0,0.60859
-52.0,38.0,0.6377684
-52.0,42.0,0.6572251
-52.0,46.0,0.63536763
-52.0,50.0,0.6292299
-52.0,54.0,0.6557652
-52.0,58.0,0.68023586
-52.0,62.0,0.57787204
-52.0,66.0,0.47945136
-52.0,70.0,0.4490493
-52.0,74.0,0.39365187
-52.0,78.0,0.3801073
-52.0,82.0,0.9757272
-52.0,86.0,0.80298686
-52.0,90.0,0.85312974
-52.0,94.0,0.7181699
-52.0,98.0,0.75126946
-52.0,102.0,0.7203797
-52.0,106.0,0.70031226
-52.0,110.0,0.6819233
-52.0,114.0,0.64317906
-52.0,118.0,0.6105284
-52.0,122.0,0.6041295
-52.0,126.0,0.57780683
-52.0,130.0,0.5345304
-52.0,134.0,0.5173185
-52.0,138.0,0.5102564
-52.0,142.0,0.5136919
-52.0,146.0,0.48378548
-52.0,150.0,0.4785124
-52.0,154.0,0.4338252
-52.0,158.0,0.3903513
-52.0,162.0,0.4255319
-52.0,166.0,0.46631607
-52.0,170.0,0.4537398
-52.0,174.0,0.469042
-52.0,178.0,0.49847555
-52.0,182.0,0.5077869
-52.0,186.0,0.50104594
-52.0,190.0,0.48061332
-52.0,194.0,0.4540915
-52.0,198.0,0.43042937
-52.0,202.0,0.44779578
-52.0,206.0,0.4661869
-52.0,210.0,0.41854173
-52.0,214.0,0.34268612
-52.0,218.0,0.31566507
-52.0,222.0,0.37828034
-52.0,226.0,0.43119827
-52.0,230.0,0.41547376
-52.0,234.0,0.39311224
-52.0,238.0,0.3863617
-52.0,242.0,0.38121986
-52.0,246.0,0.3725614
-52.0,250.0,0.4095319
-52.0,254.0,0.45144814
-52.0,258.0,0.48634118
-52.0,262.0,0.50175595
-52.0,266.0,0.50863284
-52.0,270.0,0.5026941
-52.0,274.0,0.48882776
-52.0,278.0,0.44532818
-52.0,282.0,0.3401077
-52.0,286.0,0.3174324
-52.0,290.0,0.57160693
-52.0,294.0,0.52718484
-52.0,298.0,0.48673487
-52.0,302.0,0.42950517
-52.0,306.0,0.38300955
-52.0,310.0,0.42160097
-52.0,314.0,0.5252196
-52.0,318.0,0.5661999
-52.0,322.0,0.5884132
-52.0,326.0,0.6236021
-52.0,330.0,0.6369303
-52.0,334.0,0.6258844
-52.0,338.0,0.6194465
-52.0,342.0,0.70679533
-52.0,346.0,0.80720943
-52.0,350.0,0.8230941
-52.0,354.0,0.7272255
-52.0,358.0,0.77787244
-48.0,2.0,0.5534035
-48.0,6.0,0.6051379
-48.0,10.0,0.6326163
-48.0,14.0,0.5541085
-48.0,18.0,0.523419
-48.0,22.0,0.53928053
-48.0,26.0,0.5477941
-48.0,30.0,0.53123665
-48.0,34.0,0.565938
-48.0,38.0,0.60718966
-48.0,42.0,0.62961596
-48.0,46.0,0.6264162
-48.0,50.0,0.6316699
-48.0,54.0,0.6565027
-48.0,58.0,0.6564064
-48.0,62.0,0.48533252
-48.0,66.0,0.44208768
-48.0,70.0,0.48767972
-48.0,74.0,0.52022827
-48.0,78.0,0.5905616
-48.0,82.0,0.7091315
-48.0,86.0,0.700093
-48.0,90.0,0.6669321
-48.0,94.0,0.6649003
-48.0,98.0,0.6737835
-48.0,102.0,0.6496332
-48.0,106.0,0.6364997
-48.0,110.0,0.6234262
-48.0,114.0,0.6045044
-48.0,118.0,0.5764799
-48.0,122.0,0.5597884
